"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 23 19:32:48 CST 2021","Tue Mar 23 19:32:48 CST 2021","0","","test_alluredemo","","","","test_success","this test succeeds"
"broken","Tue Mar 23 19:32:48 CST 2021","Tue Mar 23 19:32:48 CST 2021","0","","test_alluredemo","","","","test_broken",""
"skipped","Tue Mar 23 19:32:48 CST 2021","Tue Mar 23 19:32:48 CST 2021","1","","test_alluredemo","","","","test_skip","this test is skipped"
"failed","Tue Mar 23 19:32:48 CST 2021","Tue Mar 23 19:32:48 CST 2021","1","","test_alluredemo","","","","test_failure","this test fails"
